id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-24-1425-01A-02R-1566-13	0.0757590649865795	0	0.0251710853831226	0.022157845427133	0	0.20264418255881	0	0.0182876621029529	0.063805380085301	0	0.0260430212938453	0.00728408783986071	0	0.299239194705313	0.0755834342294148	0.17256670710191	0	0	0.00540873771973504	0	0	0.00604959656602178
TCGA-25-2398-01A-01R-1569-13	0.0287896251766056	0	0.00492728734351213	0.0149412005098088	0	0.140730964836304	0	0	0.0188861926565283	0	0	0.0198071268125343	0.00775911866664626	0.567418124574588	0.0683337188318182	0.120805600248332	0	0.0065516194264038	0.00104942091691805	0	0	0
TCGA-61-1738-01A-01R-1567-13	0.0284556001478694	0	0.0964954856852576	0.045407495023286	0	0.0957994847769749	0	0.0761257668010508	0	0	0	0.0467338070040636	0.0873899604607148	0.0336730977935774	0.115625743464862	0.170456418721965	0	0.180856079719811	0.00181648438769599	0	0	0.0211645760128712
TCGA-24-0966-01A-01R-1564-13	0	0.00367626220772892	0.0567228841470669	0.16256081583189	0	0.157186601273379	0	0.0140389473530762	0.0832351535692133	0	0	0.0752678844968006	0.0471896501754946	0	0.0242848593259056	0.261576149194222	0	0.114260792425223	0	0	0	0
TCGA-61-1919-01A-01R-1568-13	0.0215048826542031	0	0.0463809732158086	0.0325510484021373	0	0.123585693362729	0	0.00874602027189461	0.0323353831981918	0	0	0.0332767132042727	0.000774229445389	0.372317880465502	0.0976223844832349	0.186820080531625	0.0350660716235426	0	0.00585123832445212	0	0	0.00316740081701757
TCGA-61-1728-01A-01R-1568-13	0.000491630740831172	0	0	0.0155222284841444	0	0.222797287337739	0	0.049066016802318	0.0812778165778094	0	0	0.0403590060785988	0	0.376320831634667	0.0532072333775784	0.146491114600301	0	0	0	0.0144668343660129	0	0
TCGA-13-1404-01A-01R-1565-13	0.0524106185785507	0	0.111338685334436	0.0502502219519339	0	0.120890269473895	0	0.0537688312272742	0.073769445732919	0	0	0.0625167031080562	0.034518961704062	0.108812747286898	0.123503515519313	0.194841366666128	0.0120037276351464	0	0	0.00137490578138844	0	0
TCGA-61-2003-01A-01R-1568-13	0.00640629121951327	0	0	0.0630508789276386	0	0.169074325709355	0	0.0039938243415156	0.0464430839701516	0	0	0.0335292270319233	0.0315231612611088	0.319243467866514	0.0526225474759948	0.16733002309409	0.0905088394610921	0	0.0162743296411031	0	0	0
TCGA-61-1741-01A-02R-1567-13	0.0350032080626852	0	0.145781373528152	0.0470318472044539	0	0.155574629487795	0.00205194125812255	0.0482117038458716	0.0592327732361716	0	0.0038381938074206	0.00377508438691354	0	0.306222587586364	0.074276233567256	0.118598920442328	0	0	0.000401503586467012	0	0	0
TCGA-04-1357-01A-01R-1565-13	0.0120047791429459	0.00951882972829776	0.0817457259141383	0.185639659775446	0	0.157342429297894	0	0.0595582862706205	0.0859693629711019	0.00268934982509701	0	0.00683344834719107	0.00520464286558763	0.112716005341267	0.120740661852158	0.132494510999411	0.0205260725630417	0	0.00701623510580222	0	0	0
