date,JAN,Decile 1 Portfolio Excess Return,Decile 2 Portfolio Excess Return,Decile 3 Portfolio Excess Return,Decile 4 Portfolio Excess Return,Decile 5 Portfolio Excess Return,Decile 6 Portfolio Excess Return,Decile 7 Portfolio Excess Return,Decile 8 Portfolio Excess Return,Decile 9 Portfolio Excess Return,Decile 10 Portfolio Excess Return,NoDur Excess return,Durbl Excess return,Manuf Excess return,Enrgy Excess return,Chems Excess return,BusEq Excess return,Telcm Excess return,Utils Excess return,Shops Excess return,Hlth  Excess return,Money Excess return,Other Excess return,LT Gov Bonds excess return,LT Corp Bonds excess return,6month excess return,XEW,HB3,JUNK,DIV,TB1,XVW,PREM,delta slope,UI,CGNON,REALTB
12/1995,0,0.029986359,0.019612359,0.022634359,0.048365359,0.024014359,0.024979359,0.024250359,0.011364359,0.004214359,0.016982359,0.013164359,0.027664359,0.015564359,0.054064359,0.001964359,-0.046035641,0.035564359,0.046764359,-0.011935641,0.055464359,0.008664359,0.003764359,0.023352159,0.018964359,0.001068359,0.026911249,0.000605,0.00055,0.001787594,0.003835641,0.015818359,-0.0114708,6.67E-05,-0.015657904,-0.007,0.005533
01/1996,1,0.044069249,0.029549249,0.022073249,0.029808249,0.014504249,0.015137249,0.003953249,0.019693249,0.023070249,0.033182249,0.022575249,0.030775249,0.022675249,-0.007724751,0.045975249,0.014975249,0.019175249,0.014975249,-0.007824751,0.055375249,0.035175249,0.020575249,-0.005201851,-0.002724751,-0.000324751,0.010592082,0.000072,0.000533333,0.00169094,0.004124751,0.029134249,0.0186728,0.000275,-0.000461954,0.005,-0.001585
02/1996,0,0.007893082,0.003714082,-0.000671918,0.007351082,0.017648082,0.019442082,0.020910082,0.017366082,0.012243082,0.004844082,0.027033082,0.016033082,0.001633082,0.006333082,0.012333082,0.058833082,-0.026166918,-0.029966918,0.039133082,-0.014866918,0.017133082,0.021933082,-0.052417218,-0.041466918,-0.000650918,0.017258091,-0.000224,0.000566667,0.001696107,0.004166918,0.007693082,0.049047,0.000275,0.005902836,0.006,0.00067
03/1996,0,0.013004091,0.019673091,0.013355091,0.009003091,0.014269091,0.022948091,0.019823091,0.021062091,0.019383091,0.003581091,-0.013744909,0.038455091,0.025055091,0.045455091,0.043155091,-0.038744909,-0.023044909,-0.009044909,0.055255091,-0.001944909,0.005255091,0.032755091,-0.025340209,-0.017344909,-0.000143909,0.025226829,-2.20E-05,0.000575,0.001705284,0.004344909,0.008205091,0.0203164,0.000208333,0.005199668,0.005,-0.001222
04/1996,0,0.026558829,0.033889829,0.020614829,0.026746829,0.029608829,0.029624829,0.028010829,0.030396829,0.018173829,0.002496829,-0.003072171,0.031327829,0.021327829,0.030327829,-0.008472171,0.096227829,0.022927829,-0.029972171,0.038127829,-0.010072171,-0.014872171,0.032027829,-0.020584371,-0.020072171,0.000202829,0.019566632,0.000432,0.000566667,0.001677014,0.004072171,0.009021829,0.0187144,0.000133333,0.019386512,-0.001,0.000725
05/1996,0,0.037227632,0.032292632,0.022029632,0.022374632,0.020574632,0.030648632,0.016919632,0.005849632,0.008092632,0.020720632,0.061390632,0.018190632,0.025990632,0.000590632,0.003490632,0.034190632,-0.003609368,0.009290632,0.039690632,0.035090632,0.009890632,0.016290632,-0.009652968,-0.003709368,0.000341632,-0.013389826,0.000102,0.000575,0.00166542,0.004209368,0.018220632,0.0114512,8.33E-05,0.016624553,0.008,0.002063
06/1996,0,-0.023522826,-0.022141826,-0.018151826,-0.008014826,-0.002114826,-0.017776826,-0.013489826,-0.016706826,-0.015573826,0.003542174,0.028369174,-0.053330826,-0.007330826,0.005169174,-0.011830826,-0.052930826,0.000269174,0.048069174,-0.020230826,-0.005930826,0.002469174,-0.029930826,0.016250474,0.013169174,0.000315174,-0.05219566,0.000301,0.000583333,0.001738941,0.004030826,-0.002146826,-0.0120091,-8.33E-05,0.00193195,0,0.003361
07/1996,0,-0.05752866,-0.05037066,-0.04888266,-0.03808066,-0.05473966,-0.05450366,-0.05576666,-0.06153166,-0.06111066,-0.04541166,-0.04520966,-0.04600966,-0.04860966,-0.05090966,-0.03280966,-0.07930966,-0.08960966,-0.06240966,-0.07950966,-0.06480966,-0.03000966,-0.09040966,-0.00245226,-0.00320966,0.00037934,0.03478101,0.000384,0.0006,0.001698909,0.00420966,-0.04938666,0.0028978,-0.000108333,-0.01911668,0.003,0.002583
08/1996,0,0.01539601,0.02655801,0.03466101,0.03146501,0.04188901,0.04817601,0.03851301,0.04827101,0.03594401,0.01574101,-0.01177699,0.02732301,0.02972301,0.02542301,0.02402301,0.03962301,-0.01347699,0.02462301,0.05402301,0.03762301,0.03752301,0.02842301,-0.01820669,-0.01127699,0.00095201,0.02364474,0.000447,0.000575,0.001676841,0.00427699,0.02298101,0.0247339,0.000125,-0.006285182,-0.001,0.002211
09/1996,0,0.01737374,0.01356374,0.01036974,0.02103374,0.02718074,0.03284274,0.02607474,0.03281474,0.03656974,0.04989074,0.03262574,0.01972574,0.05572574,0.03582574,0.06132574,0.10232574,0.01102574,0.00252574,0.03102574,0.06922574,0.05362574,0.02712574,0.02480494,0.02172574,0.00064574,0.001283428,1.60E-05,0.000566667,0.001621618,0.00417426,0.04444374,-0.0048784,-0.000166667,0.007064846,0.007,0.001196
10/1996,0,-0.010768572,-0.001637572,0.018995428,0.012620428,0.000661428,-0.020259572,0.002234428,0.010988428,0.005528428,0.021098428,0.013656428,-0.002843572,0.009956428,0.054256428,0.017356428,-0.015943572,-0.011443572,0.031956428,-0.026443572,-0.010943572,0.050556428,-0.007843572,0.036232828,0.031956428,0.000443428,0.037495321,0.000286,0.000575,0.001554139,0.004143572,0.015984428,-0.032687,-0.000308333,0.012485316,-0.001,0.001077
11/1996,0,0.021509321,0.029516321,0.024879321,0.026516321,0.031454321,0.024863321,0.040438321,0.047961321,0.059149321,0.069869321,0.047167321,0.055967321,0.057967321,0.051167321,0.053567321,0.116867321,0.052367321,0.021967321,0.027067321,0.062467321,0.080367321,0.043867321,0.030921721,0.022167321,5.53E-05,0.006332949,0.000173,0.000575,0.001546137,0.004132679,0.063071321,-0.0153288,0.000183333,-0.004586369,0.004,0.002046
12/1996,0,0.024618949,0.008669949,0.023016949,0.023593949,0.022353949,0.023312949,0.013038949,0.003247949,-0.015887051,-0.025293051,0.001029949,-0.035970051,-0.003870051,0.003929949,-0.019470051,-0.029870051,0.022229949,-0.002670051,-0.038670051,-0.030670051,-0.020570051,-0.025670051,-0.029646651,-0.022670051,0.000602949,0.030824344,0.000503,0.000558333,0.001511022,0.004070051,-0.017651051,0.0327363,0.000133333,-0.004458281,-0.003,0.004404
01/1997,1,0.036832344,0.036276344,0.027941344,0.019860344,0.013795344,0.028674344,0.013704344,0.012198344,0.024410344,0.055654344,0.051650344,0.027450344,0.036550344,0.039050344,0.043150344,0.089550344,0.019250344,0.004850344,-0.002449656,0.091350344,0.061750344,0.040450344,-0.012075356,-0.006949656,0.000809344,0.000284191,0.000114,0.000525,0.00146093,0.004149656,0.045507344,0.0176895,-0.000116667,0.006517409,0.008,0.000861
02/1997,0,-0.003884809,0.003237191,0.003679191,0.004917191,-0.014502809,0.000373191,-0.009072809,-0.001574809,7.22E-05,0.009904191,0.036678191,-0.000721809,0.000178191,-0.061121809,0.013478191,-0.078421809,0.018578191,-0.009921809,0.026578191,0.005178191,0.035078191,-0.020221809,-0.003708209,-0.001421809,-0.000356809,-0.03405795,-2.80E-05,0.000525,0.001483286,0.004221809,0.006587191,0.0160262,0.000116667,0.003709987,0.006,0.000645
