SheetID	CateName
20160101WDGCP00210000369	其它口味沙琪玛
20160101WDGCP00210000371	散装火锅食品
20160101WDGCP00210000375	纹胸类
20160101WDGCP00510000016	苹果
20160101WDGCP00510000023	散装糯米
20160101WDGCP00510000025	根茎菜
20160101WDGCP00510000025	根茎菜
20160101WDGCP00510000031	根茎菜
20160101WDGCP00510000032	根茎菜
20160101WDGCP00510000032	根茎菜
20160101WDGCP00510000032	鸡精类
20160101WDGCP00510000032	哈蜜瓜
20160101WDGCP00510000035	根茎菜
20160101WDGCP00510000036	苹果
20160101WDGCP00510000037	根茎菜
20160101WDGCP00510000037	根茎菜
20160101WDGCP00510000037	根茎菜
20160101WDGCP00510000037	根茎菜
20160101WDGCP00510000042	叶菜
20160101WDGCP00510000042	柑桔类
20160101WDGCP00510000043	苹果
20160101WDGCP00510000045	苹果
20160101WDGCP00510000045	其他水果
20160101WDGCP00510000047	根茎菜
20160101WDGCP00510000048	根茎菜
20160101WDGCP00510000050	根茎菜
20160101WDGCP00510000050	其它豆制品
20160101WDGCP00510000052	调味菜
20160101WDGCP00510000054	其它豆制品
20160101WDGCP00510000055	根茎菜
20160101WDGCP00510000055	柑桔类
20160101WDGCP00510000060	根茎菜
20160101WDGCP00510000061	根茎菜
20160101WDGCP00510000062	牛肉味面
20160101WDGCP00510000062	散装滋补药材类
20160101WDGCP00510000062	散装豆干
20160101WDGCP00510000066	萝卜类
20160101WDGCP00510000066	散装滋补药材类
20160101WDGCP00510000068	根茎菜
20160101WDGCP00510000069	根茎菜
20160101WDGCP00510000069	味精类
20160101WDGCP00510000072	根茎菜
20160101WDGCP00510000073	榨菜类
20160101WDGCP00510000073	榨菜类
20160101WDGCP00510000073	榨菜类
20160101WDGCP00510000073	榨菜类
20160101WDGCP00510000073	榨菜类
20160101WDGCP00510000074	根茎菜
20160101WDGCP00510000076	根茎菜
20160101WDGCP00510000077	根茎菜
20160101WDGCP00510000079	其它豆制品
20160101WDGCP00510000079	蔬菜联营
20160101WDGCP00510000079	肉类联营
20160101WDGCP00210000377	味极鲜
20160101WDGCP00210000379	大豆油
20160101WDGCP00210000383	大豆油
20160101WDGCP00210000384	根茎菜
20160101WDGCP00210000384	组合软抽类
20160101WDGCP00210000388	根茎菜
20160101WDGCP00210000388	食用菌类
20160101WDGCP00210000389	根茎菜
20160101WDGCP00210000389	散装火锅食品
20160101WDGCP00210000389	洗衣粉
20160101WDGCP00210000390	大豆油
20160101WDGCP00210000400	根茎菜
20160101WDGCP00210000404	豆类
20160101WDGCP00210000405	综合型麦片
20160101WDGCP00210000412	散装普通大米
20160101WDGCP00210000413	蒸鱼鼓油
20160101WDGCP00210000415	梨
20160101WDGCP00210000416	鸡类卤味
20160101WDGCP00210000419	散装普通大米
20160101WDGCP00210000420	散装普通大米
20160101WDGCP00210000421	一般性洗发水
20160101WDGCP00210000421	散装动物海鲜
20160101WDGCP00210000425	梨
20160101WDGCP00210000425	散装火锅食品
20160101WDGCP00210000429	调味菜
20160101WDGCP00210000430	鸡类卤味
20160101WDGCP00210000430	鸡类卤味
20160101WDGCP00210000431	根茎菜
20160101WDGCP00210000431	香醋类
20160101WDGCP00210000431	散装普通大米
20160101WDGCP00210000436	冷藏牛奶
20160101WDGCP00210000436	鱼类罐头
20160101WDGCP00210000438	夜用卫生巾类
20160101WDGCP00210000440	老酒类
20160101WDGCP00210000442	食用菌类
20160101WDGCP00210000442	水产联营
20160101WDGCP00210000448	散装火锅食品
20160101WDGCP00210000452	煮混合口味煮面
20160101WDGCP00210000453	水产联营
20160101WDGCP00210000455	调味菜
20160101WDGCP00210000455	豆类
20160101WDGCP00210000455	一次性塑杯
20160101WDGCP00210000456	食用菌类
20160101WDGCP00210000457	酸菜鱼
20160101WDGCP00210000457	散装线面类
20160101WDGCP00210000458	鸡类卤味
20160101WDGCP00210000458	酱菜
20160101WDGCP00210000458	辣椒类
20160101WDGCP00210000461	散装普通大米
20160101WDGCP00210000461	散装普通大米
20160101WDGCP00210000462	散装普通大米
20160101WDGCP00210000463	单瓶鸡尾酒
20160101WDGCP00210000463	单瓶鸡尾酒
20160101WDGCP00210000464	调味菜
20160101WDGCP00210000464	豆类
20160101WDGCP00210000465	根茎菜
20160101WDGCP00210000467	方巾
20160101WDGCP00510000080	根茎菜
20160101WDGCP00510000080	苹果
20160101WDGCP00510000080	散装滋补药材类
20160101WDGCP00510000080	其他水果
20160101WDGCP00510000081	根茎菜
20160101WDGCP00510000081	其它豆制品
20160101WDGCP00510000082	散装滋补药材类
20160101WDGCP00510000084	调和油
20160101WDGCP00510000084	花生汤
20160101WDGCP00510000084	花生汤
20160101WDGCP00510000084	椰子汁
20160101WDGCP00510000084	椰子汁
20160101WDGCP00510000085	苹果
20160101WDGCP00510000086	苹果
20160101WDGCP00510000086	蒸鱼鼓油
20160101WDGCP00510000086	其他水果
20160101WDGCP00510000086	其它豆制品
20160101WDGCP00510000088	根茎菜
20160101WDGCP00510000088	其他水果
20160101WDGCP00510000090	柑桔类
20160101WDGCP00510000090	柑桔类
20160101WDGCP00510000090	哈蜜瓜
20160101WDGCP00210000468	梨
20160101WDGCP00210000469	根茎菜
20160101WDGCP00210000470	根茎菜
20160101WDGCP00210000471	散装普通大米
20160101WDGCP00210000472	调味菜
20160101WDGCP00210000472	其它冲饮茶
20160101WDGCP00210000473	其它口味沙琪玛
20160101WDGCP00210000473	水产联营
20160101WDGCP00210000334	柑桔类
20160101WDGCP00210000343	马桶座套
20160101WDGCP00210000344	马桶座套
20160101WDGCP00210000344	洗衣液
20160101WDGCP00210000345	散装蛋糕
20160101WDGCP00210000346	散装蛋糕
20160101WDGCP00210000348	布拖鞋类
20160101WDGCP00210000350	苹果
20160101WDGCP00210000350	其它豆制品
20160101WDGCP00210000354	包装火锅食品
20160101WDGCP00210000354	卤料类
20160101WDGCP00210000354	巧克力味盒装饼干
20160101WDGCP00210000354	乳酸菌
20160101WDGCP00210000355	柑桔类
20160101WDGCP00210000355	苹果
20160101WDGCP00210000356	组合装卫生巾类
20160101WDGCP00210000357	保温杯
20160101WDGCP00210000358	叶菜
20160101WDGCP00210000359	叶菜
20160101WDGCP00210000362	巧克力味
20160101WDGCP00210000366	其它豆制品
20160101WDGCP00210000367	面粉
20160101WDGCP00210000367	散装滋补药材类
20160101WDGCP00210000369	叶菜
20160101WDGCP00210000369	山楂散装
20160101WDGCP00210000369	散装蛋糕
20160101WDGCP00210000377	面粉
20160101WDGCP00210000378	散装豆干
20160101WDGCP00210000378	散装豆干
20160101WDGCP00210000381	苹果
20160101WDGCP00210000381	其他水果
20160101WDGCP00210000381	单根火腿肠
20160101WDGCP00210000382	洗衣皂
20160101WDGCP00210000385	其他水果
20160101WDGCP00210000386	柑桔类
20160101WDGCP00210000386	西米
20160101WDGCP00210000387	其它冲饮茶
20160101WDGCP00210000389	马桶座套
20160101WDGCP00210000392	叶菜
20160101WDGCP00210000392	其它豆制品
20160101WDGCP00210000392	其它豆制品
20160101WDGCP00210000395	鸡蛋类
