ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YOL140W,0.174216935,-0.41736538,-0.233845287,-0.131887713,0.451464609,0.354531278,-0.52547496,0.174925501,0.156705787,-0.253273391,0.437075509,0.050502547,0.28,0.44,,0.848,0.36,0.684,0.4,0.55,-0.060164268,,0.141629665,0.242529165
YOR130C,0.325289216,0.910258636,0.98861175,0.430233925,0.038744928,0.63586406,-0.076784286,0.215897794,-0.48882661,-0.71514662,0.258028072,0.111000884,-0.023,0.058,0.279,0.221,0.134,0.282,0.453,0.304,-0.143813806,-0.198523814,-0.409,0.203660198
YHR018C,-0.474,0.095685814,1.077086024,-0.580797511,0.102631781,1.033,0.84795516,1.133,-0.391,-0.7585809,0.517186194,-0.179616331,0.359,0.512,0.862,1.451,-0.088,-0.129,0.297,0.662,0.401107527,0.26595699,-0.076559464,0.46264072
YOL058W,0.070443508,-0.414453711,0.155234271,-0.013782716,0.028428816,-0.248,0.196,-0.37908753,0.045344705,,0.258463778,0.253216935,0.26,0.021,-0.109,0.906,0.068,0.32,0.238,0.379,0.2914191,0.473,0.058941782,0.469419005
YOR303W,-0.901480505,-1.176504778,-0.491847166,0.054800805,-0.33187073,-1.25536538,-0.596240334,0.482067546,-0.047492982,-0.039314263,0.056041935,0.22050078,-0.548,-0.489,-0.976,-0.214,0.138,-0.059,-0.247,-0.349,0.549249977,0.186507018,0.47715836,0.66391505
YJL088W,0.171125599,0.721363975,0.37997199,0.028001519,-0.234617934,0.342510484,0.240125109,-0.081674064,-0.256556492,0.008824645,0.134504246,0.069725348,0.46,1.241,1.795,2.864,0.255,0.863,1.373,1.647,0.287777634,0.245382067,-2.29E-05,0.093125109
YPL111W,0.365846103,0.65767368,-2.540363701,-0.78938983,0.936759666,1.991,-1.287920273,0.151666904,1.292680641,0.79313813,2.032502166,1.069768174,0.617,1.312,0.613,-0.176,0.536,1.205,0.66,-0.121,0.438667926,0.646724976,0.581745298,0.599866037
YDR465C,-1.240324554,-2.008254702,-1.587788497,-0.371022945,-0.961999653,-1.653131755,-0.684343265,0.087740702,-0.075793913,0.334697545,,-0.478012686,-0.65,-1.579,-2.458,-2.305,0.382,-1.377,-2.316,-2.684,0.155778091,-0.152375007,0.688822376,0.379032093
YLR438W,-0.163159462,-0.003499913,-1.012778128,,0.764,1.053,0.065,-0.418,-0.006418057,0.647,0.91065152,0.521866261,1.558,2.227,1.793,1.345,1.257,1.795,1.606,1.238,0.131801585,-0.116225454,0.128122053,0.159527074
YDR173C,1.02040845,0.631697545,0.425424511,0.315701698,0.94247462,0.745077978,0.046463778,-0.020007117,0.085008664,-0.222622614,0.005701698,0.050034657,0.623,0.91,0.886,0.639,0.465,0.788,0.53,0.476,0.14,0.056048131,0.363462964,0.310554447
YML099C,,,,,,0.161,,0.091,,-0.363,,-0.01,-0.154,-0.317,-0.202,0.035,-0.293,-0.587,-0.251,,,-0.559,0.387,0.118
