id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
16,2,3,4,3,1,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,4,5,3,2,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,5,2,1,6,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,9,7,7,1,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,13,5,4,3,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,14,3,2,1,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
16,2,15,7,6,1,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
17,2,2,6,1,5,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,4,1,1,7,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,7,1,1,5,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,8,1,1,7,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,9,1,1,7,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,12,1,1,6,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,14,4,4,4,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
17,2,15,6,6,4,7,6,7,7,7,5,4,4,1,6,20,3,2,4,no,none,
18,1,1,6,5,4,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,2,5,4,3,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,3,6,4,5,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,4,5,3,3,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,7,5,5,4,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,9,5,4,3,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,15,5,6,5,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
18,1,16,5,5,4,4,5,5,5,6,6,6,5,1,6,20,4,2,4,It looked like there was a lot of persuasion going on,,
19,4,3,5,5,4,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,4,4,3,3,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,6,5,4,4,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,10,5,4,5,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
19,4,11,5,4,4,4,3,3,4,3,4,5,4,1,8,28,4,2,4,no,good study,
