"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"68","【CCTV纪录片】《霞客行》 4集全","2017-01-03 21:39","398","9","2","63",963,11483,7,0,"CCTV纪录片
徐霞客
霞客行
徐霞客游记","网络 明万历十四年，在大明王朝日渐由鼎盛走向衰落的时候，江苏江阴徐家又迎来了一个新生命，人们似乎对这个小生命寄予了厚望，给他取名为弘祖，他们没有想到就是这个徐弘祖日后竟对中国乃至世界地理学史产生了无比甚远的影响。"
"69","ＥＧＹＰＴ　ＣＩＶＩＬＩＺＡＴＩＯＮ〔中語發音、ＤＶＤ版白色字幕〕","2017-01-03 21:30","407","6","2","22",493,1339,1,0,"埃及
古代
非洲
纪录片
古文明
木乃伊
金字塔
法老
尼羅河
人面獅身像","資料來源→https://goo.gl/BRRHF1"
"70","[1080P]电视专题片《打铁还需自身硬》更新中篇《严防灯下黑》","2017-01-03 21:15","8335","169","125","640",100,4457,0,104,"1080P
中纪委
打铁还需自身硬
严防灯下黑
以担当诠释忠诚
信任不能代替监督
电视专题片","【自录】 [1080P]电视专题片《打铁还需自身硬》   专题片反映了党的十八大以来，纪检监察机关认真贯彻习近平总书记的指示要求，全面从严治党把自己摆进去，加强自身建设、完善内控机制，坚决清理门户，严防“灯下黑”，努力打造一支忠诚干净担当的纪检监察队伍，体现“打铁自身硬、永远在路上”的清醒和韧劲，回应党内关切和人民群众期盼。专题片共分三篇：《信任不能代替监督》《严防灯下黑》《以担当诠释忠诚》，有很强的警示和教育意义。
http://pan.baidu.com/s/1gfojdCn 密码：4tlm"
"71","ＭＥＳＯＰＯＴＡＭＩＡ　ＣＩＶＩＬＩＺＡＴＩＯＮ〔中語發音、ＤＶＤ版白色字幕〕","2017-01-03 20:27","367","2","2","27",493,1339,3,0,"纪录片
伊拉克
底格里斯河
中東
亞洲
阿卡德時期
幼發拉底河
美索不達米亞
巴比倫
新蘇美時期","資料來源→https://goo.gl/tvrFWH"
"72","ＩＮＤＵＳ　ＶＡＬＬＥＲＹ　ＣＩＶＩＬＩＳＡＴＩＯＮ〔中語發音、ＤＶＤ版白色字幕〕","2017-01-03 19:17","326","4","2","24",493,1339,0,0,"古代
文明
印度
亞洲
印度河","資料來源→https://goo.gl/XC5XZu"
"73","《档案》20161213：四环传奇（5）运动奇缘 奥迪将顶尖足球资源带入中国","2017-01-03 18:45","460","1","0","6",83,1512,4,0,"北京卫视你变了
哥们我买还不行吗？
奥迪超长汽车广告
伪纪录片
档案
BTV
奥迪发展史
汽车常识
朋友你知道奥迪吗？","乐视 《档案》20161213：四环传奇（5）运动奇缘 奥迪将顶尖足球资源带入中国"
"74","Discovery频道 蛮野一家第三季 熟肉","2017-01-03 18:11","2803","10","2","104",3,8,5,0,"求生
野外生存
蛮族","Discovery频道  Discovery频道再次推出《蛮野一家》，且看再度露面的布朗一家如何决心重返荒野。他们一家人住在文明世界之外，这批「狼群」常常遇到一年中长达六到九个月没见过外地人的情况。住在杳无人烟之地，他们自己发展出一套口音与生活方式。简单地说，他们不像一般的美国家庭。自从他们家的船沉没以后，布朗一家就受困在阿拉斯加克奇坎市，一家九口全挤在一间仅有800平方尺大的小公寓。B站好像只有前两季，这个系列已经出到第四季了可惜我找到的第三季也只有前六集有字幕 。----"
"75","【百家讲坛】-【华夏春秋志】","2017-01-03 18:03","586","3","0","40",7,19,3,0,"百家讲坛
敦煌
丝绸之路
戊戌变法
夏商周
避暑山庄
汉武帝汉唐
夏商周断代
华夏春秋志
图腾崇拜","来自cntv 来自cntv"
"76","【NHK】【熟肉】大蒙古·文明之道","2017-01-03 16:39","1796","1","4","62",55,1809,17,0,"NHK纪录片","油管 油管传送门：https://www.youtube.com/watch?v=bNfolRU3sCQ
老物画质渣见谅qwqq"
"77","【纪录片】舌尖上的越南（越南语/粤语）Taste of Vietnam 22集（完结）","2017-01-03 16:24","1928","20","6","49",529,18140,9,0,"旅行
社会
文化
人文
美食
舌尖上的越南","1-10合集：av7581253，11集：av7595795，12集：av7624558，13集：av7638848，14集：av7656441
15集：av7672411，16集：av7693138，17集；av7707659，18集：av7722287，19集：av7736381
20集：av7749859，21集：av7765229

带你了解越南的美食，风景，文化，跟着镜头出发吧～"
"78","【CCTV】中国近代史 从义和团抗击八国联军到辛亥革命","2017-01-03 16:11","525","1","1","25",199,398,0,0,"中国近代史
义和团
辛亥革命","优酷 中国近代史 从义和团抗击八国联军到辛亥革命"
"79","【美食纪录片】味道 2017元旦特别奉献【720P】","2017-01-03 14:55","18000","395","70","1007",784,131164,73,54,"吃货
纪录片
美食
味道","自压 HDTV720P.
味道 2017元旦特别奉献。"
"80","【经典传奇】苹果园里的诱惑","2017-01-03 14:21","343","4","3","0",166,557,7,0,"走近科学
诱惑
经典传奇","搜狐 2017.1.3 尽量一天一更 喜欢点个关注 投个币都可以哦 我现在已经从新浪上传 画质会好一点_(:з」∠)_"
"81","National Geographic国家地理频道：透视紫禁城（英语中字）","2017-01-03 14:03","1086","5","0","40",7,25,0,1,"紫禁城","网络 National Geographic国家地理频道出品~这个转换完质量不错"
"82","[史密森尼]航拍美国 S7E02 波多黎各和美属维京(2016)水山汉化","2017-01-03 13:43","224","1","0","21",25,330,0,0,"航拍美国 波多黎各 美属维京 水山汉化","史密森尼.航拍美国.S7E02.波多黎各和美属维京(2016)水山汉化 Smithsonian航拍美国 2016年播出的第二集

加勒比这两个美国属地, 现在是以旅游业为主.从视频里看到,到处是游轮. 特别是维京群岛,哥伦布和某个洛克菲勒都对此独有情种.
风景就不说了,热带岛屿.还带着很多历史遗迹.是和美国其他地方很不一样的地方. 不仅仅是文化上的差别.
当地主要语言是西班牙语. 倒是一些老人英语很好,因为他们都是从美国本土退休回老家的.
虽然岛屿也是火山形成,但和夏威夷不一样的是都是白沙滩,靠"
"83","老兵纪录片—2.周福康的故事","2017-01-03 13:16","166","7","3","5",16,12,1,0,"抗战
老兵
记录片","http://i.youku.com/i/UMjk4MjgyMDQ=?spm=a2h1n.8261147.uerCenter.5~5!2~A 今天上传第二集=-=
还有1080P的资源应该没问题...
今天大概就搬两个视频=-="
"84","【纪录片/摄影】4K超高清延时摄影星空特辑","2017-01-03 13:11","589","6","7","61",22,134,7,2,"超清画质
超清
延时摄影
星空
摄影
纪录片","转载自网络 由美国摄制组拍摄"
"85","【纪录片/物理/宇宙】不一样的生活大爆炸","2017-01-03 13:05","661","3","2","30",22,134,0,0,"宇宙
超清画质
物理
超清
纪录片","由中文字幕组提供 科学表明我们人类来自宇宙大爆炸。《不一样的生活大爆炸》将带领我们解开三个谜团：人类的起源、宇宙的形成以及灵异物体的由来。"
"86","巡洋战舰（a、b）英语中字","2017-01-03 12:58","755","18","0","37",7,25,3,0,"巡洋战舰","E盘 画质有点渣，请见谅！"
"87","Discovery探索频道----建筑奇观：杭州湾跨海大桥","2017-01-03 12:11","1025","8","1","14",7,25,1,0,"杭州湾大桥","网络 Discovery探索频道出品"
"88","《档案》20161214：四环传奇（6） 奉听之名","2017-01-03 12:10","416","1","0","4",83,1512,2,0,"档案
伪纪录片
奥迪
BTV
没想到你是这样的档案！
我买还不行吗？
北京卫视收钱了！
朋友你知道安利吗？
超长奥迪汽车广告
奥迪发展史","乐视 《档案》20161214：四环传奇 奉听之名"
"89","麦哲伦奉献：阿帕奇直升机","2017-01-03 12:00","1250","3","3","22",28,208,3,3,"NGC
麦哲伦","NGC 超级战斗直升机"
"90","【NHK】吃午餐啦 Lunch ON!（英语生肉）S2 17","2017-01-03 11:48","576","4","0","16",529,18140,3,0,"社会
文化
人文
生活
美食
Lunch ON!","吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？
01集：av7652242，02集：av7667762，03集：av7686762，04集：av7704562，06集：av7718365
07集：av7732017，08集：av7745596，09集：av7759497，10集：av7776125，11集：av7798152
16集：av7815458"
"91","末日求生祕技第二季12 警戒与逃亡  生肉","2017-01-03 11:30","513","2","2","16",10,40,1,0,"警戒与逃亡","国家地理频道电视节目  美国三个家庭应对核灾难与恐怖袭击，海陆空各种工具准备，包括水上飞机改装大车，反观中国，整天叫嚣核战争的屁民们又准备了些什么？"
"92","【探索频道(HDW)】顶级订做（6）： 艺术品 Bespoke：Art【中文字幕】","2017-01-03 11:00","798","2","1","40",227,5018,0,0,"探索频道
国际版 英语中字
顶级订做","TV录制片 马妮提供      [Discovery HD World 頻道] Bespoke：Art 顶级订做（6）： 艺术品 
《顶级订做》探索大量生产产品所需的工业专长，以及工匠如何运用熟稔的技巧，创造出客制产品。《顶级订做》由贾斯汀布拉顿主持，访问专家、深入了解这些产品背后的工程技术，向多年沿袭下来的工艺致敬。

***系列连播中，更新不定时***"
"93","纪录片.Ch4.食品大揭秘：圣诞美食.Food.Unwrapped.2016[高清][生肉]","2017-01-03 05:04","577","10","2","49",785,13875,1,3,"Ch4","Ch4 【纪录片.Ch4.食品大揭秘：圣诞美食.Food.Unwrapped.S09.Does.Christmas.2016】"
"94","纪录片.探索频道.奥斯曼帝国和基督教：欧洲之战.2016[全3集][高清][生肉]","2017-01-03 04:02","1409","11","4","205",785,13875,6,6,"探索频道","【纪录片.探索频道.奥斯曼帝国和基督教：欧洲之战.Ottomans.Versus.Christians.Battle.For.Europe.2016】
奥斯曼土耳其帝国横跨欧亚非三洲，从奥斯曼一世帝国梦的开启，到1683年围困维也纳的辉煌，直至沦为欧洲病夫的衰落，Julian Davison讲述数百年的征战兴亡。
下载版见微博：@猛犸君侯。全3集，高清下载：http://weibo.com/5643224579/Ep8wDr5PC"
"95","【CCTV】地理中国   雨林迷踪","2017-01-03 03:43","336","1","0","5",394,1682,1,0,"CCTV
环境
泰国
自然
热带雨林
地理中国","CCTV 本期节目主要内容： 地球上的热带雨林主要分布在南美洲、热带亚洲和非洲的刚果盆地，及几内亚湾等三片区域，优越的水热条件使得热带雨林在仅仅占据陆地面积百分之七的范围之内，拥有着全球总数一半的植物种类。可以说，热带雨林最重要的价值之一就是它拥有着地球上最丰富的物种资源。然而， 这样珍贵的生态系统却面临着极大的危机。 （《地理中国》 20161231 雨林迷踪）"
"96","【CCTV】地理中国   冬日奇景·石楼探奇（上、下）","2017-01-03 03:43","165","3","1","4",394,1682,0,0,"CCTV
历史
山西
黄土高原
地理中国
吕梁山脉
石楼县","本期节目主要内容： 1936年2月，毛泽东率领红军从陕西跨河东征，东渡成功之后，他看到吕梁山西侧、黄河以东的这片大好河山赞叹不已，写下了冠绝千古的《沁园春<U+2022>雪》。为了探寻诗中所描绘的那种雄奇壮阔的北国风光，本期摄制组来到石楼县进行考察。专家称，石楼县覆盖着大量土质疏松、容易垮塌的黄土和质地细腻、容易保水的红土。独特的土质造就了石楼县残垣遍布的地貌。 （《地理中国》 20170101 冬日奇景<U+2022>石楼探奇（上））"
"97","【档案】梅葆玖 此生只为一事来","2017-01-03 02:38","204","0","0","7",52,149,0,1,"京剧
梅葆玖
梅派","BTV 2017年1月2日"
"98","【传记】约翰·格里尔逊【大师和他们的作品】【纪录片·纪录片导演】","2017-01-03 02:17","140","0","3","20",36,178,0,0,"John Grierson
纪录电影史
格里尔逊学派
英国纪录电影运动
纪录片教父
约翰·格里尔逊","【网络】16集纪录《大师和他们的作品》 
约翰·格里尔逊(John Grierson，1898.04.26~1972.02.19)，英国纪录片导演，制片人。弗拉哈迪的学生，有“电影教父”之称，英国纪录电影运动的领导者，弗拉哈迪美国纪录电影学派的创始人，代表作品《飘网渔船》。"
"99","【CCTV】自然传奇   草原上的女豪杰","2017-01-03 02:08","299","9","2","4",394,1682,1,0,"CCTV
非洲
南非
自然传奇
花豹
鬣狗
克鲁格国家公园
纳比丘陵","CCTV 本期节目主要内容： 南非克鲁格国家公园是20多只非洲最神秘莫测的花豹的领地。在过去的30年里，人们一直在拍摄和研究花豹。非洲纳比丘陵诞生了一只鬣狗公主，跟随鬣狗群，它见识了迁徙中的动物及各种捕猎技巧，飞快的在自然中成长。 （《自然传奇》 20170102 草原上的女豪杰）"
"100","【CCTV】自然传奇  最狂野的接触","2017-01-03 02:06","385","7","3","6",394,1682,2,0,"CCTV
动物
灰熊
咸水鳄
自然传奇
棕熊
阿留申群岛","CCTV 本期节目主要内容： 摄影师安德雷亚斯<U+2022>基林在各种条件恶劣的极端环境下，去拍摄一些最罕见、最隐秘、最饱受误解的动物。本期节目就将展现他追踪海岸棕熊、澳大利亚咸水鳄、帕米尔盘羊、亚洲狮以及罗马尼亚棕熊的冒险旅程。安德雷亚斯穿越阿留申群岛之间海峡，他此行的目的地是巨型灰熊的故乡。（《自然传奇》 20170101 最狂野的接触）"
