"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"37","《打铁还需自身硬》魏健贪污心态：中纪委这地方，谁查中纪委啊","2017-01-04 16:52","6306","79","21","95",333,33239,264,23,"中纪委
打铁还需自身硬
贪污","《打铁还需自身硬》 受贿来的人民币、欧元、美元成捆放着…被带走那天，魏健一夜白头，在纪录片《打铁还需自身硬》采访中坦言，当时心存侥幸“中纪委这地方，谁查中纪委啊”。"
"38","《打铁还需自身硬》魏健贪污心态：中纪委这地方，谁查中纪委啊","2017-01-04 16:52","6334","79","21","95",333,33239,264,23,"中纪委
打铁还需自身硬
贪污","《打铁还需自身硬》 受贿来的人民币、欧元、美元成捆放着…被带走那天，魏健一夜白头，在纪录片《打铁还需自身硬》采访中坦言，当时心存侥幸“中纪委这地方，谁查中纪委啊”。"
"39","【TBS纪录片】世界遗产：勒·柯布西耶的建筑作品（2016年10月23日）【中日字幕】","2017-01-04 16:38","504","6","13","113",1007,81440,3,5,"日本
TBS
世界遗产
诸神字幕组
纪录片","诸神字幕组 TBS的一档介绍世界各地世界遗产的节目，每周日下午6:00-6:30更新。每集大约25分钟左右。"
"40","【经典传奇】“百万金佛”的背后","2017-01-04 16:13","228","0","2","2",166,557,4,1,"走近科学
经典传奇
金佛","搜狐 2017.1.4 尽量一天一更 喜欢点个关注 投个币都可以哦 我现在已经从新浪上传 画质会好一点_(:з」∠)_"
"41","【NHK】 BEGIN Japanology 新幹線","2017-01-04 15:26","1247","16","1","33",3816,2877,4,1,"日本
铁道","NHK Begin Japanology - Shinkansen"
"42","【NHK】 BEGIN Japanology 剣道","2017-01-04 15:03","705","2","1","29",3816,2877,2,0,"日本
型男
剑道
片腕","NHK Begin Japanology -  Kendo"
"43","动物变专家","2017-01-04 14:48","2148","45","17","214",179,97103,21,8,"BILIBILI正版","如何把一只英国小猎犬训练成为专业的联邦警察嗅探毒品或爆炸物的警犬。这些警犬的鼻子可以确保机场、足球场和酒店公寓的安全。这个系列片主要讲述人和动物之间如何共同生活，然后把它们训练成为可以为人类服务的动物。人和动物们共同经历的欢乐、痛苦、进步、成功、失败。。。"
"44","寻找沙皇的宝藏","2017-01-04 14:27","1087","1","7","139",179,97104,16,10,"BILIBILI正版","沙皇之冠，俄国财富和权力的象征，总是如此令人着迷。沙皇，拥有着无穷的财富，宫殿的宝库过去收藏着具有无限光彩的钻石和珠宝，这向我展示了过去的俄国是多么庄严、富有和成功。本片重点向观众介绍了俄国沙皇时期的皇宫内的各种珍宝，展现了过去沙皇俄国的荣耀……"
"45","老兵纪录片—3.叶增炎的故事","2017-01-04 13:45","127","3","2","4",16,12,0,0,"抗战
老兵","http://i.youku.com/i/UMzAwNjI1NTI4MA==?from=recommend&spm=a2hzp.8244740.0.0 老兵系列纪录片第三集=-=
今天第一弹O(∩_∩)O"
"46","【CCTV-7】桂林味道","2017-01-04 12:56","2091","50","11","87",2,8,8,3,"CCTV
吃货
人文
中国
纪录片
美食
桂林
农广天地","桂林米粉-老桂林人的记忆 无论身在何地，都能想起家乡的味道。"
"47","【Begin Japanology】日本生活---火锅","2017-01-04 12:45","1027","8","0","30",1068,4958,0,0,"Begin Japanology - N","Begin Japanology - NHK World https://www.youtube.com/watch?v=7nmNZvH44vQ"
"48","CCTV9 央视原创纪录片《自然的力量》第一集 纵横 HDTV720P","2017-01-04 12:18","1305","27","9","62",12,24,8,3,"央视纪录片","TronTV 第一集 藏北高原，每天都在上演着藏羚羊与狼群生与死的考验，为了生存和繁衍后代，藏羚羊必须时刻保持警惕。在吐鲁番盆地，炎热的环境孕育着不同的物种，它们是大自然的胜利者。在南海海底，珊瑚产卵大爆发。热带雨林的成群亚洲象，随着人类家园不断靠近挤压领地，亚洲象的生存面临考验。从青藏高原之世界屋脊，到吐鲁番盆地之中国谷底，从热带雨林的亚洲象，到南海海底的珊瑚产卵大爆发，解释了中国自然场景之广阔。"
"49","【纪录/影视/访谈】《遥远的桥制作特集与访谈》2002【外语中字】","2017-01-04 12:07","217","1","0","20",110,1123,1,0,"幕后
第二次世界大战
访谈
战争
纪录","自压上传 　由奥斯卡金像奖得奖导演理查德·阿滕伯勒执导的战争巨片《遥远的桥》，根据科尼利厄斯·瑞恩的同名小说改编而成。影片表现和讴歌了盟军在二战中浴血奋战的斗争精神，被誉为电影史上的超级战争巨片。本片的明星阵容空前强大，聚集了诸如詹姆斯·卡恩、迈克尔·凯恩、肖恩·康纳利、罗伯特·雷德福、安东尼·霍普金斯等数国的数十位明星。本片荣获1978年第31届英国电影和电视艺术学院奖最佳摄影、最佳男配角、最佳原声等多项大奖与提名。"
"50","【NHK】吃午餐啦 Lunch ON!（英语生肉）S2 18","2017-01-04 11:32","412","0","3","14",529,18139,1,0,"文化
人文
生活
美食","吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？
01集：av7652242，02集：av7667762，03集：av7686762，04集：av7704562，06集：av7718365
07集：av7732017，08集：av7745596，09集：av7759497，10集：av7776125，11集：av7798152
16集：av7815458，17集：av7831883"
"51","【PBS纪录片】独立透镜之神奇女侠【JoinFeminism字幕组】","2017-01-04 08:56","642","15","25","65",48,7107,14,1,"神奇女侠
PBS纪录片","PBS 10月21日，神奇女侠戴安娜·普林斯被联合国指定为妇女和女童权益进步的荣誉大使。然而仅仅两个月后，联合国便撤销了她的大使职位。据报道，这是因为有不少联合国的工作人员认为神奇女侠在漫画中过于迎合男性审美的形象并不适合代表女权精神。目前仍有粉丝在网上呼吁联合国恢复她的荣誉大使身份。神奇女侠是一个历史悠久的角色，可她究竟在过去几十年中经历了怎样的演变历程？她到底该不该算作女权主张与平等精神的代表人物？在神奇女侠于2017年重返银屏之前，我们或许能通过这部纪录片找到答案。"
"52","【SKY】微型猛兽 第六集【双语特效字幕】【纪录片之家字幕组】","2017-01-04 08:40","1967","35","43","199",201,160043,17,3,"蚂蚁
蜜蜂
特效字幕
大卫爱登堡
纪录片之家字幕组","@纪录片之家字幕组 @纪录片之家字幕组 不相上下的对手、致命的武器、持续的暴力威胁，在这个世界里，杀手蚂蚁成群结队地出没，蜘蛛能够织出陷阱，而甲壳虫能够喷射出炙热的化学物质来迎击捕食者。第六集能看到能看到社会性昆虫通过复杂的交流手段完成让人叹为观止的行为。

纪录片之家字幕组原创听译"
"53","《远方的家》 一带一路-巴基斯坦系列[1080P]","2017-01-04 07:28","8285","350","40","356",3,77,42,5,"一带一路
央视纪录片
纪录片
巴基斯坦
巴铁小兄弟","https://www.youtube.com/watch?v=LjMB4fe3Ang&t=64s 《一带一路》是央视《远方的家》栏目推出的第八部大型系列特别节目。这里是巴基斯坦系列的合集，片源是1080P，欢迎观看。"
"54","白俄罗斯纪录片 苏联过后的25年 全十五集【俄语生肉】","2017-01-04 06:01","673","9","4","54",86,477,1,3,"俄罗斯
俄罗斯纪录片
俄罗斯历史
俄语纪录片","youtube.com 白俄罗斯纪录片 苏联过后的25年 全十五集【俄语生肉】，在苏联解体25周年之际，白俄罗斯电视台重返原15个加盟共和国，细细考察在苏联过后的25年里，每个加盟共和国经历了些什么，又有着哪些挑战。"
"55","纪录片.历史频道.世界末日：终结地球的十件事：小行星撞击.2016[高清][生肉]","2017-01-04 04:38","779","5","1","27",785,13873,3,0,"历史频道","历史频道 【纪录片.历史频道.世界末日.终结地球的十件事：小行星撞击.Doomsday.10.Ways.the.World.Will.End.2016】"
"56","【PBS纪录片】独立透镜之神奇女侠【JoinFeminism字幕组】","2017-01-04 08:56","644","15","25","65",48,7107,14,1,"神奇女侠
PBS纪录片","PBS 10月21日，神奇女侠戴安娜·普林斯被联合国指定为妇女和女童权益进步的荣誉大使。然而仅仅两个月后，联合国便撤销了她的大使职位。据报道，这是因为有不少联合国的工作人员认为神奇女侠在漫画中过于迎合男性审美的形象并不适合代表女权精神。目前仍有粉丝在网上呼吁联合国恢复她的荣誉大使身份。神奇女侠是一个历史悠久的角色，可她究竟在过去几十年中经历了怎样的演变历程？她到底该不该算作女权主张与平等精神的代表人物？在神奇女侠于2017年重返银屏之前，我们或许能通过这部纪录片找到答案。"
"57","《远方的家》 一带一路-巴基斯坦系列[1080P]","2017-01-04 07:28","8357","350","40","362",3,77,42,6,"一带一路
央视纪录片
纪录片
巴基斯坦
巴铁小兄弟","https://www.youtube.com/watch?v=LjMB4fe3Ang&t=64s 《一带一路》是央视《远方的家》栏目推出的第八部大型系列特别节目。这里是巴基斯坦系列的合集，片源是1080P，欢迎观看。"
"58","CCTV体育纪录片 《岁月纪事》新中国六十年体育发展纪实   全十五集","2017-01-04 03:42","111","2","0","9",50,59,0,1,"CCTV
体育
CCTV纪录片
纪录片
2008奥运会
60周年
北京奥运会
新中国
2008北京奥运会","体育人间  岁月纪事       建国六十年纪念日即将到来，《体育人间》推出特别节目《岁月纪事》，选取六十年体育事业发展长流中的典型人物，历史故事，以小见大，反映新中国体育在六十年变化中的风貌。
　　
  这部片子选择从普通人的生活入手，试图以平民视角，真实再现新中国体育六十年中的感人情节。节目中许多鲜为人知的历史画面将是第一次与观众见面。同时，编导更关注“真情”在叙事中的作用，风格淡雅清新，比之浓墨重彩的主旋律大片，这部片子更像是一幅素描。"
"59","俄罗斯一台纪录片 苏联的崩溃 全八集 【俄语生肉】","2017-01-04 03:27","852","5","3","72",86,477,8,1,"俄罗斯
俄罗斯纪录片
俄罗斯历史
俄语纪录片","vesti.ru 俄罗斯一台纪录片 苏联的崩溃 全八集 【俄语生肉】
众多当时事件的亲历人，前任领导人，党政军前要员纷纷现身讲述。"
"60","【2001年Channel 4】迷幻浩室纪录片：“化学”时代 ( The Chemical Generation-Aci","2017-01-04 01:50","111","0","0","9",21,24,0,0,"Boy George
rave
clubbing culture
Acid House","https://www.youtube.com/watch?v=KxBCaMvBH5c&t=1573s Presented by Boy George, looking at the history and legacy of the UK acid house, rave and clubbing culture since the 1980s.

Tony Wilson, Irvine Welsh, Danny Rampling, Mike Pickering, Paul Oaken"
"61","探索频道：俄罗斯雪怪","2017-01-04 01:23","885","112","1","25",577,1536,4,2,"狼
雪怪
大脚怪
雪人
野人","http://i.youku.com/i/UMzk0Njc1NTk2 探索频道：俄罗斯雪怪"
"62","【石玫瑰 粉丝自制纪录片】 The Stone Roses- a documentary","2017-01-04 00:30","35","16","1","5",21,24,7,0,"the stone roses","https://www.youtube.com/watch?v=fIX5RpjN_dw  
by @leemavers

粉丝自制纪录片，简陋但讲的很好，专注于音乐，系统细致，里面有些相对少见的资料，个人非常喜欢。


一 起源 哪些乐队影响

二 1984—1988早期

三 89年首专The stone roses

四 blackpool演唱会 分ab两部分

五 新方向

六 1990年穗岛演唱会

七 1990—1994停滞期

八 二专second coming和巡演

九 1995"
"63","【纪录频道】《自然的力量》04 直播回放","2017-01-03 23:47","1815","54","105","44",28,57971,61,2,"央视
生命
自然
中国","自制 《自然的力量》哔哩哔哩直播回放，《自然的力量》总导演李文举偕主创团队与大家边看边聊。明晚19:30就是第五集啦，大家熟稔的灰发西装帅叔叔将会主持哦~"
"64","【人物】美国太空先驱 尼尔·阿姆斯特朗","2017-01-03 23:26","207","0","2","14",963,11483,2,0,"美国
纪实
NASA
太空
纪录片","网络 他在1969年6月20日成为地球上第一个漫步月球的人，月球之旅归来后，他成了人们崇拜的航天英雄，但他却甘愿做个远离世俗的隐士，人们对他的一切更加的好奇。一位叫安德鲁·史密斯的记者在写一本关于阿波罗宇航员的书，其中尼尔?阿姆斯特朗就是其中之一，但是他拒绝接受采访。节目介绍了通过采访尼尔·阿姆斯特朗周围的亲友介绍阿姆斯特朗的独特的人生。"
"65","【CCTV纪录片】大千一梦","2017-01-03 23:21","455","3","0","35",963,11483,4,0,"CCTV
纪实
中国
纪录片
画家
张大千","网络 1919年，上海松江的禅定寺，有一个年轻人急匆匆的遁入空门，禅定寺住持很喜欢这个半路出家颇具慧根的青年，亲自为他取法号为“大千”。大千世界是佛教的宇宙观，横亘时空包罗万象，气魄之大难以言表，年轻人却坦然承受，他自称姓张，从此人世间有了张大千这个名号。"
"66","ＣＨＩＮＥＳＥ　ＣＩＶＩＬＩＺＡＴＩＯＮ〔中語發音、ＤＶＤ版白色字幕〕","2017-01-03 23:02","559","6","5","11",493,1339,4,0,"纪录片
古文明
三星堆
亞洲
中國
長江
兵馬俑
青銅器
黃河
黃土高原","資料來源→https://goo.gl/WBRiyw"
"67","Discovery频道 《Hillbilly Blood》《山野乡民》 合集 熟肉","2017-01-03 21:51","286","0","0","18",3,8,0,0,"建造
捕猎
野外生存
求生专家","Discovery频道 两名美国阿帕拉契山区土生土长的求生专家，揭露他们在家乡冷山的艰困环境中发展出来的秘密生存之道。他们吃自己捕猎来的食物、私自酿酒，并且用以物易物的方式获得任何大自然无法直接提供的东西。《山野乡民》单元介绍：交换的功夫史宾瑟和尤金要用谷仓的旧木材替夏安的店制作一个展示盒。然而，为了获得这些木材，他们必须先制作陷阱捕捉一只动物作成「土拨鼠油」，拿这个去换一条狗，再用狗去换得他们制作盒子所需要的回收谷仓木材。自制游艇夏安弄来了一艘游艇，不停骄傲炫耀。"
